experiment_group,mode,cc_alg,tpcc_type,threads,warehouses,branches,txn_cnt,abort_cnt,resource_abort_cnt,success_rate,throughput,attempt_throughput,avg_latency,speedup_vs_occ_same_branch,speedup_vs_silo_same_branch,speedup_vs_tictoc_same_branch,speedup_vs_occ_b1,speedup_vs_silo_b1,speedup_vs_tictoc_b1,output_file
baseline,tpcc_agent_new_order_baseline_occ_b1,OCC,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,1,218178,72771,0,0.749884,14242.991262,18993.592684,0.000070000,1.000000,0.335330,0.257338,1.000000,0.335330,0.257338,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_occ_b1.txt
baseline,tpcc_agent_new_order_baseline_occ_b4,OCC,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,4,269563,921225,0,0.226374,5416.394780,23926.792280,0.000185000,1.000000,0.268773,0.276781,0.380285,0.127521,0.097862,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_occ_b4.txt
baseline,tpcc_agent_new_order_baseline_occ_b8,OCC,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,8,276669,2056467,0,0.118582,2472.462599,20850.154874,0.000404000,1.000000,0.211161,0.205227,0.173592,0.058210,0.044672,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_occ_b8.txt
baseline,tpcc_agent_new_order_baseline_silo_b1,SILO,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,1,217466,55208,0,0.797531,42474.566452,53257.566391,0.000024000,2.982138,1.000000,0.767417,2.982138,1.000000,0.767417,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_silo_b1.txt
baseline,tpcc_agent_new_order_baseline_silo_b4,SILO,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,4,274521,899687,0,0.233792,20152.279382,86197.295176,0.000050000,3.720608,1.000000,1.029792,1.414891,0.474455,0.364105,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_silo_b4.txt
baseline,tpcc_agent_new_order_baseline_silo_b8,SILO,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,8,281392,2044584,0,0.120978,11708.894785,96785.296872,0.000085000,4.735722,1.000000,0.971899,0.822081,0.275668,0.211553,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_silo_b8.txt
baseline,tpcc_agent_new_order_baseline_tictoc_b1,TICTOC,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,1,221938,55793,0,0.799111,55347.445887,69261.241850,0.000018000,3.885943,1.303073,1.000000,3.885943,1.303073,1.000000,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_tictoc_b1.txt
baseline,tpcc_agent_new_order_baseline_tictoc_b4,TICTOC,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,4,260450,853622,0,0.233782,19569.262830,83707.305740,0.000051000,3.612968,0.971069,1.000000,1.373957,0.460729,0.353571,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_tictoc_b4.txt
baseline,tpcc_agent_new_order_baseline_tictoc_b8,TICTOC,TPCC_AGENT_NEW_ORDER_BASELINE,32,8,8,274465,1998607,0,0.120746,12047.442866,99774.853083,0.000083000,4.872649,1.028914,1.000000,0.845851,0.283639,0.217669,output/final_branch_scaling_baseline_32t/tpcc_agent_new_order_baseline_tictoc_b8.txt
aet,tpcc_agent_new_order_aet_hybrid_standard_b1,AET_HYBRID_RULE,TPCC_AGENT_NEW_ORDER_RESERVE_STANDARD,32,8,1,208864,72464,0,0.742422,15195.061023,20466.888155,0.000066000,1.066845,0.357745,0.274540,1.066845,0.357745,0.274540,output/final_branch_scaling_aet_32t/tpcc_agent_new_order_aet_hybrid_standard_b1.txt
